,CHAM1,CHAM1-PV,CHAM2,CHAM2-PV,CHAM3,CHAM3-PV,CHAM4,CHAM4-PV,CHAM5,CHAM5-PV
0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
4,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
5,5.568000000000001,1.5799999999999998,-0.0,1.5799999999999998,-0.0,1.5799999999999998,-0.0,0.0,-0.0,1.5799999999999998
6,10.799999999999999,1.52,14.399999999999999,21.28000000000001,14.399999999999995,19.76000000000001,19.799999999999997,7.600000000000001,18.0,13.680000000000001
7,11.88,9.45,41.580000000000005,11.199999999999996,109.89,10.499999999999996,103.95,3.8499999999999988,121.77000000000001,7.6999999999999975
8,5.12,43.32,174.72,38.0,-0.0,34.96,286.72,12.92,-0.0,26.6
9,-0.0,116.63999999999999,180.20000000000002,102.05999999999999,46.74999999999998,93.96,166.60000000000002,35.64,-0.0,71.28
10,3.84,109.20000000000002,193.92,93.80000000000001,102.39999999999998,88.2,184.32,33.6,-0.0,65.80000000000001
11,4.1,100.33000000000001,97.03333333333333,87.63000000000005,133.25,81.28000000000002,161.95,30.480000000000004,137.35,60.96000000000001
12,4.54,0.0,233.81,67.2,45.4,16.800000000000004,45.4,23.1,38.59,46.2
13,4.24,81.60000000000002,-0.0,70.8,36.04,66.0,224.71999999999997,25.2,216.23999999999995,49.199999999999996
14,5.3999999999999995,80.56000000000002,176.39999999999995,69.92000000000002,-0.0,65.36000000000001,-0.0,24.320000000000004,120.14999999999996,48.64000000000001
15,7.5600000000000005,47.19,-0.0,40.04,192.78,37.18,-0.0,14.299999999999999,10.395000000000003,28.599999999999998
16,-0.0,12.149999999999999,52.533333333333346,10.799999999999999,-0.0,9.45,-0.0,4.05,-0.0,6.749999999999999
17,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
18,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
19,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
20,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
21,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
22,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
23,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
25,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.0,1.59,3.8924999999999996,1.59,0.0,1.59,0.0,0.0,0.0,0.0
30,9.65,0.0,13.510000000000002,0.0,0.0,0.0,0.0,2.085,0.0,12.51
31,10.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,14.85
32,7.08,0.0,14.16,0.0,7.08,0.0,10.620000000000001,0.0,0.0,27.28
33,11.100000000000001,0.0,17.76,0.0,13.32,0.0,15.540000000000001,0.0,0.0,22.879999999999992
34,8.85,0.0,14.16,0.0,12.39,0.0,15.93,0.0,17.7,50.374999999999986
35,8.55,0.0,13.68,0.0,13.68,0.0,15.39,0.0,17.1,53.666666666666664
36,9.2,0.0,9.2,0.0,14.719999999999999,0.0,11.04,0.0,18.4,41.933333333333344
37,8.75,0.0,7.0,0.0,14.0,0.0,10.5,0.0,17.5,43.175
38,12.059999999999999,0.0,8.04,1.31,16.08,0.0,12.059999999999999,0.0,20.099999999999998,41.92000000000001
39,11.940000000000001,0.0,7.960000000000001,3.989999999999999,13.930000000000001,0.0,11.940000000000001,0.0,3.9800000000000004,25.269999999999996
40,11.64,0.0,9.7,2.7600000000000007,3.88,11.040000000000001,9.7,0.0,0.0,8.280000000000001
41,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
42,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
43,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
44,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
45,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
46,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
47,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
48,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
