,CHAM1,CHAM1-PV,CHAM2,CHAM2-PV,CHAM3,CHAM3-PV,CHAM4,CHAM4-PV,CHAM5,CHAM5-PV
0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
4,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
5,-0.0,1.53,5.728,1.53,-0.0,1.53,-0.0,0.0,-0.0,1.53
6,11.940000000000001,13.299999999999997,15.920000000000002,18.619999999999997,15.920000000000002,0.0,21.89,6.6499999999999995,19.900000000000002,11.969999999999999
7,4.359999999999999,82.51000000000002,15.259999999999998,71.36000000000001,40.33,66.9,38.14999999999999,11.15,44.69,49.06000000000001
8,-0.0,84.92999999999999,179.34,74.5,146.85750000000002,68.54,-0.0,25.33,-0.0,52.15
9,-0.0,163.44000000000003,111.29999999999998,143.01000000000002,-0.0,131.66000000000003,39.90000000000001,49.94000000000001,100.79999999999994,99.88000000000002
10,4.16,96.72,210.08,83.08,-0.0,78.12,199.68,29.759999999999998,110.93333333333334,58.28
11,4.18,97.17000000000002,98.92666666666665,84.87000000000002,135.85,78.72000000000001,165.10999999999999,29.520000000000003,140.03,59.040000000000006
12,2.0599999999999996,167.17000000000002,106.08999999999997,146.56,20.599999999999994,38.16666666666668,20.599999999999994,0.0,17.509999999999998,0.0
13,4.12,85.68,195.70000000000002,74.34,-0.0,69.3,46.35000000000001,26.46,210.12,51.660000000000004
14,5.82,73.14,-0.0,63.480000000000004,-0.0,59.34,129.495,22.080000000000002,190.12,44.160000000000004
15,-0.0,62.37,-0.0,52.919999999999995,145.86,49.14,14.299999999999997,18.9,-0.0,37.8
16,17.64,12.24,36.064,10.88,-0.0,9.520000000000001,-0.0,4.08,-0.0,6.800000000000001
17,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
18,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
19,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
20,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
21,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
22,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
23,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
25,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.0,1.74,3.555,1.74,0.0,1.74,0.0,0.0,0.0,0.0
30,7.15,15.120000000000001,10.010000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,11.0,0.0,17.6,0.0,0.0,12.599999999999994,4.4,0.0,0.0,0.0
32,6.5600000000000005,0.0,13.120000000000001,6.720000000000002,6.5600000000000005,0.0,9.84,26.88,0.0,0.0
33,8.899999999999999,0.0,14.239999999999998,32.032,10.68,0.0,12.459999999999999,0.0,0.0,0.0
34,6.8999999999999995,0.0,11.04,0.0,9.66,0.0,12.419999999999998,0.0,13.799999999999999,63.05000000000001
35,9.350000000000001,16.312500000000004,14.96,0.0,14.96,0.0,16.830000000000002,36.25000000000001,18.700000000000003,0.0
36,6.65,56.38333333333334,6.65,0.0,10.64,0.0,7.98,0.0,13.3,0.0
37,4.500000000000002,0.0,3.6000000000000014,0.0,7.200000000000003,0.0,5.400000000000002,0.0,9.000000000000004,66.55
38,9.0,0.0,6.0,0.0,12.0,51.56666666666667,9.0,0.0,15.0,0.0
39,10.919999999999998,0.0,7.279999999999999,16.875000000000004,12.739999999999998,0.0,10.919999999999998,15.000000000000002,3.6399999999999997,0.0
40,8.46,8.913333333333332,7.050000000000001,0.0,2.8200000000000003,15.28,7.050000000000001,5.7299999999999995,0.0,0.0
41,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
42,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
43,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
44,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
45,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
46,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
47,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
