,CHAM1,CHAM1-PV,CHAM2,CHAM2-PV,CHAM3,CHAM3-PV,CHAM4,CHAM4-PV,CHAM5,CHAM5-PV
0,2.373333333333332,1.5400000000000003,-0.0,1.5400000000000003,-0.0,1.5400000000000003,3.5599999999999996,0.0,-0.0,1.5400000000000003
1,12.66,1.2100000000000004,16.88,16.94,16.88,15.730000000000002,23.209999999999997,6.050000000000001,21.099999999999998,10.890000000000002
2,7.16,27.539999999999996,25.060000000000002,48.96,66.23,45.899999999999984,62.65,16.830000000000002,73.39,33.660000000000004
3,-0.0,91.19999999999999,168.56000000000003,80.0,-0.0,73.6,138.03,27.2,-0.0,55.99999999999999
4,-0.0,111.60000000000001,40.709999999999994,97.65,203.55,89.9,173.46,34.1,-0.0,68.2
5,-0.0,113.88000000000001,-0.0,97.82000000000001,197.16,91.98000000000002,178.56,35.040000000000006,95.47999999999998,68.62
6,3.96,105.86,209.88,92.46000000000001,29.700000000000006,85.76,156.42,32.160000000000004,132.66,64.32000000000001
7,4.1,92.71000000000002,211.14999999999995,5.08,41.0,74.93000000000002,41.0,27.940000000000005,34.849999999999994,0.0
8,-0.0,97.24,179.55,84.36999999999999,-0.0,78.64999999999999,200.34,30.029999999999998,54.18000000000001,58.629999999999995
9,5.040000000000001,86.92,101.91999999999997,75.44,-0.0,70.52,161.28000000000003,26.24,-0.0,52.48
10,-0.0,46.2,-0.0,39.2,-0.0,36.400000000000006,182.4,14.000000000000002,21.119999999999997,28.000000000000004
11,-0.0,12.69,-0.0,11.28,-0.0,9.87,50.93333333333334,4.2299999999999995,-0.0,7.05
12,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
13,3.555,1.74,-0.0,1.74,0.0,1.74,0.0,0.0,0.0,0.0
14,11.899999999999999,5.013333333333334,16.66,0.0,0.0,0.0,0.0,3.7600000000000007,0.0,0.0
15,11.899999999999999,3.1333333333333337,19.04,0.0,0.0,0.0,4.76,9.400000000000002,0.0,0.0
16,8.24,0.0,16.48,0.0,8.24,0.0,12.36,20.16,0.0,5.040000000000001
17,10.75,0.0,17.2,2.9250000000000007,12.899999999999999,0.0,15.049999999999999,24.570000000000004,0.0,0.0
18,10.600000000000001,0.0,16.96,0.0,14.84,15.300000000000002,19.080000000000002,26.40000000000001,21.200000000000003,0.0
19,8.45,16.300000000000008,13.52,0.0,13.52,0.0,15.209999999999999,40.75,16.9,0.0
20,8.3,0.0,8.3,0.0,13.280000000000001,11.066666666666666,9.96,39.839999999999996,16.6,0.0
21,13.149999999999999,5.520000000000002,10.52,0.0,21.04,0.0,15.78,14.490000000000004,26.299999999999997,0.0
22,12.600000000000001,0.0,8.4,0.0,16.8,16.469999999999995,12.600000000000001,19.52,21.0,0.0
23,12.78,0.0,8.52,13.387499999999998,14.91,0.0,12.78,11.899999999999997,4.26,0.0
24,13.5,0.0,11.25,9.63,4.5,0.0,11.25,3.21,0.0,6.42
