,CHAM1,CHAM1-PV,CHAM2,CHAM2-PV,CHAM3,CHAM3-PV,CHAM4,CHAM4-PV,CHAM5,CHAM5-PV
0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
13,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
24,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
26,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
28,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
32,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
33,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
36,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
38,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
41,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
42,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
43,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
46,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
47,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
48,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
52,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
54,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
55,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
57,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
58,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
59,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
60,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
61,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
63,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
65,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
66,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
67,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
68,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
70,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
72,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
73,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
76,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
78,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
80,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
81,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
83,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
84,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
88,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
89,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
90,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
91,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
92,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
93,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
95,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
96,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
97,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
98,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
100,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
102,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
103,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
104,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
105,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
106,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
107,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
108,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
109,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
112,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
113,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
115,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
116,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
117,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
118,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
119,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
120,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
121,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
122,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
