Time,CHAM1,CHAM2,CHAM3,CHAM4,CHAM5,SUM-LOAD,CHAM1-PV,CHAM2-PV,CHAM3-PV,CHAM4-PV,CHAM5-PV,SUM-PV,SUNNY,RAINY
00:00,4.4,1.4,12.3,2.8,20.25,41.1,0,0,0,0,0,0,0,0
01:00,4.3,1.4,12.1,2.7,19.88,40.4,0,0,0,0,0,0,0,0
02:00,4.4,1.4,12.3,2.8,20.29,41.2,0,0,0,0,0,0,0,0
03:00,4.4,1.4,12.3,2.8,20.25,41.1,0,0,0,0,0,0,0,0
04:00,4.5,1.5,12.8,2.9,21.03,42.7,3.6,3.2,2.9,1.1,0,10.8,0.3625,0.304166667
05:00,4.8,1.6,13.5,3.1,22.2,45.1,14.8,12.9,12,4.6,0,44.2,1.479166667,1.295833333
06:00,11.1,3.7,31.4,7.1,51.69,105,25,21.7,20.2,7.7,0,74.6,2.495833333,2.845833333
07:00,17.8,5.9,50.3,11.4,82.85,168.3,53.1,46.2,43,16.5,0,158.7,5.308333333,6.368644068
08:00,150.2,49.7,424.2,96.1,698.61,1418.9,71.2,61.9,57.6,22.1,0,212.8,7.116666667,6.75
09:00,127.5,42.2,359.9,81.6,592.76,1203.9,82.3,71.6,66.7,25.5,0,246.1,8.229166667,2.129166667
10:00,118,39.1,333.2,75.5,548.84,1114.7,92,80,74.5,28.5,0,275,9.195833333,4.9
11:00,120.5,39.9,340.3,77.1,560.51,1138.4,87.8,76.4,71.1,27.2,0,262.6,8.783333333,0.75
12:00,26.7,8.8,75.5,17.1,124.29,252.4,77.7,67.6,62.9,24.1,0,232.3,7.770833333,1.8125
13:00,86.6,28.7,244.6,55.4,402.82,818.1,59.5,51.8,48.2,18.4,0,177.9,5.95,1.358333333
14:00,104.3,34.5,294.4,66.7,484.8,984.6,36,31.3,29.2,11.2,0,107.6,3.6,1.2125
15:00,100.5,33.3,283.8,64.3,467.34,949.2,12.7,11,10.3,3.9,0,37.9,1.266666667,1.004166667
16:00,100.9,33.4,285,64.6,469.38,953.3,0,0,0,0,0,0.1,0.004166667,0.004166667
17:00,27.2,9,76.8,17.4,126.42,256.8,0,0,0,0,0,0,0,0
18:00,29.2,9.7,82.5,18.7,135.92,276.1,0,0,0,0,0,0,0,0
19:00,24.1,8,67.9,15.4,111.88,227.2,0,0,0,0,0,0,0,0
20:00,15.5,5.1,43.7,9.9,72.05,146.3,0,0,0,0,0,0,0,0
21:00,8.1,2.7,22.7,5.2,37.44,76,0,0,0,0,0,0,0,0
22:00,5.3,1.8,15,3.4,24.69,50.1,0,0,0,0,0,0,0,0
23:00,5.2,1.7,14.8,3.3,24.33,49.4,0,0,0,0,0,0,0,0
